player_name,country,years_active,matches,innings,not_outs,runs,high_score,batting_average,hundreds,fifties,ducks,batting_strike_rate,balls_faced,boundary_%,sixes_hit,fours_hit,consistency_score,player_impact_score,man_of_the_match_awards,catches_taken,stumpings,run_outs,matches_won_contribution_(%),bowling_wickets,bowling_average,bowling_economy_rate,bowling_strike_rate,best_bowling_figures,overs_bowled,five-wicket_hauls,ten-wicket_hauls
Hazratullah Zazai (AFG),South Africa,1999-2022,60,60,22,1501,162*,26.33,1,5,4,119.1,840,25.27,59,1705,69.16,67.97,13,246,41,51,74.89,326,26.44,9.35,43.22,5/46,3634,32,9
Muhammad Tanveer (QAT),New Zealand,1980-2023,50,46,35,1499,88*,45.42,0,12,8,143.63,16547,20.58,188,1367,69.8,67.99,36,49,3,77,65.83,3,48.21,3.27,27.43,1/47,2494,41,5
RW Barber (ENG),Pakistan,1991-2021,28,45,32,1495,185,35.59,1,9,18,75.13,8884,52.75,445,1262,67.28,63.49,36,199,34,59,36.03,509,49.28,3.0,41.35,4/48,843,16,5
KAJ Roach (WI),Bangladesh,1981-2022,188,191,3,1493,41,11.75,0,0,1,145.25,14131,40.1,217,566,84.71,84.32,28,205,17,96,60.01,213,37.16,9.66,30.67,4/37,1549,20,5
CC Lewis (ENG),Afghanistan,1997-2023,85,91,10,1479,117,19.98,1,4,19,91.82,13340,35.43,111,1144,68.39,61.43,6,43,40,49,57.82,460,28.37,9.16,19.85,7/27,1954,14,0
KD Mills (NZ),Afghanistan,2008-2023,231,150,8,1473,57,14.16,0,3,8,147.17,10213,53.45,168,1629,68.9,71.58,26,72,3,57,25.9,344,44.74,7.12,31.14,5/30,2075,25,4
LJ Wright (ENG),Australia,2020-2024,101,84,37,1466,99*,19.54,0,6,1,123.89,12714,26.91,270,1311,71.93,57.97,11,33,42,59,82.68,89,32.0,6.93,20.75,2/34,2731,0,7
KA Maharaj (SA),New Zealand,1996-2021,133,120,34,1465,84,14.22,0,5,1,119.8,2725,59.4,87,286,84.48,63.66,40,127,49,4,82.02,280,21.62,5.49,45.62,5/26,1215,11,8
D Gough (ENG/ICC),Sri Lanka,1982-2022,219,173,10,1464,65,12.51,0,2,16,84.54,12184,63.95,172,1601,69.46,84.87,19,152,35,23,78.12,340,18.58,9.34,57.32,4/43,962,24,7
N Deonarine (WI),Australia,1998-2021,57,66,22,1462,82,24.77,0,9,1,142.32,14982,33.91,202,1148,69.96,91.68,44,164,11,34,37.08,278,31.96,3.82,22.96,1/30,3630,4,3
FJ Titmus (ENG),Pakistan,2008-2024,55,77,25,1460,84*,22.12,0,10,18,107.19,18681,26.53,301,1702,71.91,50.95,42,178,5,78,79.3,341,20.44,6.9,56.61,7/49,775,46,0
RMH Binny (IND),India,1998-2022,99,90,19,1459,83*,19.45,0,6,3,111.46,2286,57.22,317,1631,81.49,67.0,35,185,5,7,25.26,314,40.22,5.37,31.38,3/11,3233,2,0
PR Reiffel (AUS),West Indies,1989-2022,127,107,48,1458,79*,20.25,0,7,12,146.59,17998,57.67,116,855,68.79,69.62,9,77,30,96,71.86,175,16.97,6.71,29.13,7/49,1931,2,4
MDK Perera (SL),New Zealand,1999-2021,59,91,24,1456,95,17.54,0,7,8,131.1,9243,47.11,350,1897,97.68,88.23,13,231,21,83,51.98,520,41.14,8.02,27.52,5/32,4341,49,3
K Rabada (SA),Sri Lanka,2010-2023,232,166,46,1450,47,12.60,0,0,8,92.5,8860,25.56,336,908,68.7,85.61,32,198,3,53,57.46,597,33.32,6.46,59.88,6/10,2015,0,9
SP O'Donnell (AUS),Pakistan,1986-2023,93,74,1,1448,74*,25.85,0,9,9,117.76,8329,31.88,59,1710,62.37,75.83,22,262,44,54,37.83,423,44.38,6.16,31.28,2/25,4597,20,7
S Madan Lal (IND),South Africa,2014-2022,106,97,13,1443,74,21.53,0,6,11,124.28,17354,53.84,29,1857,92.94,87.62,5,196,19,43,41.89,133,18.02,6.11,27.69,6/14,2828,40,7
SJ Myburgh (NED),England,2005-2021,67,66,16,1442,74,23.25,0,9,4,82.64,12619,69.04,61,1465,97.35,74.94,24,289,13,66,81.11,301,14.4,5.47,40.95,3/11,3158,9,5
Faisal Iqbal (PAK),West Indies,2011-2022,44,60,3,1438,139,25.67,2,8,8,146.04,17389,45.65,103,698,88.01,62.86,8,102,26,49,37.15,402,17.61,4.72,34.7,6/44,4689,15,3
JN Frylinck (NAM),Afghanistan,1988-2024,103,80,24,1437,73,23.17,0,6,5,143.2,4828,25.09,381,243,52.17,87.86,42,210,16,69,81.07,150,34.51,7.89,19.05,4/39,2550,44,8
PL Symcox (SA),Sri Lanka,1989-2023,100,81,36,1435,108,21.41,1,7,6,80.71,3973,59.38,391,1875,84.2,81.53,42,196,16,45,60.23,235,21.2,6.23,18.21,5/38,3428,12,5
Vikramjit Singh (NED),India,2004-2022,59,58,17,1432,110,25.12,1,8,12,119.45,16031,55.79,197,1855,72.99,70.24,28,129,10,6,44.62,69,14.82,8.19,16.07,3/34,3185,17,2
JR Hopes (AUS),India,2012-2023,96,68,4,1431,63*,24.67,0,3,12,80.67,9460,28.51,63,1225,95.64,80.29,46,217,31,84,55.54,552,28.75,5.8,55.03,4/36,1120,14,3
JW Jenner (JER),England,2007-2023,55,55,25,1427,96*,31.02,0,8,10,107.06,8598,45.32,210,867,77.21,87.47,30,13,15,96,34.58,46,19.88,5.38,59.91,4/21,3657,29,7
WAS Oldfield (AUS),England,2017-2024,54,80,25,1427,65*,22.65,0,4,8,91.0,18080,36.23,240,1406,85.6,94.51,13,225,8,10,40.16,473,28.47,8.68,36.01,4/34,2954,27,8
BN Cooper (NED),South Africa,2016-2021,71,66,10,1426,91*,26.40,0,10,7,79.08,12603,28.76,336,783,89.66,83.49,10,23,39,99,56.56,192,27.61,8.78,20.93,6/48,4795,44,8
R Edwards (AUS),Australia,1984-2021,29,40,34,1426,170*,39.61,2,12,19,62.05,4450,29.9,15,1186,51.0,56.59,20,236,44,63,50.6,169,25.74,5.03,36.15,1/40,3665,3,8
II Selemani (TAN),Afghanistan,1985-2021,63,62,42,1426,81,24.58,0,7,0,140.71,12993,57.46,319,482,85.58,56.83,17,153,34,87,63.28,59,32.9,5.66,29.57,2/22,3248,20,7
C Kelleway (AUS),Pakistan,1991-2021,26,42,41,1422,147,37.42,3,6,18,70.61,13445,24.05,491,163,65.35,68.35,30,83,40,78,73.57,186,41.57,6.3,25.25,5/12,3918,34,5
K Kadowaki-Fleming (JPN),Sri Lanka,2020-2023,35,35,15,1420,114,45.80,2,9,0,96.19,11235,24.75,409,188,53.61,50.11,7,294,21,10,57.99,400,49.79,4.51,41.35,2/39,3497,23,4
Hon.FS Jackson (ENG),Bangladesh,1995-2023,20,33,49,1415,144*,48.79,5,6,10,104.67,5167,44.56,13,1589,82.68,64.11,37,124,30,29,80.16,122,16.0,4.17,30.95,3/22,2610,31,9
Abid Ali (PAK),South Africa,1995-2021,22,32,32,1414,215*,47.13,5,4,2,148.63,13660,44.08,457,104,50.02,64.05,0,284,1,39,81.66,321,24.75,9.53,41.43,1/36,4237,4,0
RG Nadkarni (IND),Afghanistan,1981-2022,41,67,19,1414,122*,25.70,1,7,13,66.7,10442,64.8,151,64,93.23,74.96,18,81,23,0,58.39,446,32.05,9.98,13.44,5/42,1244,40,2
JA Morkel (Afr/SA),Pakistan,2002-2024,109,82,38,1412,97,23.14,0,3,4,71.95,782,45.76,262,1805,50.58,55.21,2,59,22,24,47.06,162,37.06,9.43,16.36,3/40,1315,34,1
MO Odumbe (KENYA),Sri Lanka,1989-2022,61,59,2,1409,83,26.09,0,11,9,109.64,16211,52.59,257,516,55.23,59.74,43,267,16,31,28.15,116,19.83,3.41,16.81,5/17,479,33,2
AR McBrine (IRE),Afghanistan,2020-2023,130,94,29,1402,86*,19.20,0,5,2,93.51,12510,37.91,337,720,70.56,91.39,41,264,9,52,27.39,540,37.75,5.54,26.36,5/22,1506,7,3
RT Simpson (ENG),New Zealand,2016-2022,27,45,31,1401,156*,33.35,4,6,0,132.37,7273,31.19,262,1020,85.7,55.18,22,124,12,95,27.07,279,35.95,4.0,52.59,1/50,1217,31,8
JL Denly (ENG),England,1998-2022,44,53,41,1398,94,27.41,0,10,13,112.59,12880,24.51,360,1593,81.76,79.78,36,122,13,62,63.89,89,34.37,4.05,23.91,5/30,250,39,8
SFAF Bacchus (WI),England,1991-2022,48,56,34,1394,250,26.30,1,6,10,128.48,13816,64.74,168,671,67.04,50.47,8,133,35,35,36.42,363,47.62,6.91,44.08,5/30,2776,9,7
J Ryder (AUS),England,1990-2023,20,32,7,1394,201*,51.62,3,9,19,127.73,13358,20.71,413,1634,57.95,61.23,17,46,16,1,74.95,231,25.29,7.73,41.66,5/10,1141,12,0
WP Saha (IND),New Zealand,2016-2022,49,61,9,1394,117,28.44,3,6,19,69.46,9319,44.19,280,1273,78.24,86.71,21,124,36,42,80.47,405,12.69,5.9,35.6,4/30,3931,2,8
RA Harper (WI),Afghanistan,1990-2022,130,105,13,1390,74,16.95,0,3,0,123.33,7543,58.66,207,677,94.09,93.98,31,193,4,25,27.07,325,34.66,7.68,18.65,2/39,3418,41,3
MR Adair (IRE),New Zealand,2006-2022,145,111,22,1385,88,16.48,0,2,13,114.88,5391,48.58,430,63,90.0,52.58,35,149,32,45,76.64,463,20.52,7.56,52.06,6/11,2956,26,1
B McMullen (SCOT),Afghanistan,1989-2024,42,37,32,1385,151,43.28,3,8,15,144.05,13905,52.17,66,1595,77.66,81.77,38,186,32,35,63.62,477,22.39,6.73,28.29,7/18,1001,7,9
Rameez Shahzad (UAE),England,1983-2023,48,47,6,1385,121*,33.78,2,6,18,87.58,10334,34.35,19,1611,61.01,85.55,17,28,44,76,69.8,426,21.44,6.8,40.55,6/28,2247,23,0
Haroon Rasheed (PAK),Pakistan,1984-2022,35,46,22,1383,153,32.16,3,6,12,135.17,19349,64.57,352,1954,77.84,77.74,2,179,40,64,30.99,493,17.85,4.03,35.34,4/13,4256,2,0
CJ McDermott (AUS),Afghanistan,1994-2024,209,168,41,1372,42*,9.94,0,0,10,147.58,3601,40.68,252,148,53.47,77.79,18,299,20,20,34.54,228,19.29,6.66,54.45,4/25,4343,47,4
NL McCullum (NZ),Pakistan,1994-2022,147,103,38,1369,65,17.77,0,4,7,112.01,16304,20.74,442,1528,61.73,57.4,47,68,31,49,55.17,452,11.06,6.84,29.49,4/48,798,18,6
BOP Fernando (SL),New Zealand,2011-2024,36,51,37,1367,102,29.71,1,8,10,83.5,15954,34.61,115,224,57.58,90.5,32,256,4,64,87.8,195,40.49,3.76,51.5,4/24,3719,14,8
Meet Bhavsar (KUW),Australia,2011-2024,59,57,9,1366,89,27.32,0,10,8,110.84,16011,28.9,491,420,52.2,77.17,29,213,12,76,64.69,109,20.08,6.06,35.37,3/40,2933,10,6
SS Das (IND),Pakistan,2019-2021,27,44,43,1365,110,33.29,2,9,7,60.43,9399,49.31,267,1856,68.3,91.79,49,134,29,78,33.16,493,11.28,7.37,41.05,6/42,3108,8,3
KG Viljoen (SA),Australia,2013-2022,27,50,45,1365,124,28.43,2,9,13,147.63,1059,58.98,459,1559,53.49,59.72,16,235,37,93,71.1,153,44.6,8.96,30.0,2/45,2719,39,9
T Mishra (KENYA),West Indies,1997-2024,57,55,22,1355,72,28.22,0,8,15,82.11,19029,56.62,466,150,95.98,60.57,23,15,13,24,70.68,298,31.08,4.42,19.83,3/30,396,16,8
DJ Nash (NZ),New Zealand,2000-2022,113,98,9,1353,89*,19.05,0,4,16,115.64,6157,33.54,135,1659,77.31,66.49,24,242,44,7,38.8,379,48.61,8.08,37.48,1/21,2278,3,7
HL Collins (AUS),Pakistan,1980-2024,19,31,49,1352,203,45.06,4,6,1,88.31,3545,65.44,98,1617,76.81,62.09,33,63,20,39,57.36,149,24.95,6.33,24.11,6/42,298,47,9
AG Cremer (ZIM),South Africa,2019-2021,144,128,2,1352,102*,13.93,1,1,12,141.3,11242,44.34,297,1646,55.46,90.63,0,50,10,31,66.13,522,14.25,8.88,14.25,3/39,4269,40,0
G Miller (ENG),Bangladesh,2000-2024,59,69,17,1349,98*,21.41,0,7,7,139.55,2081,52.71,367,313,72.48,93.34,24,215,43,53,51.68,186,39.65,5.57,46.13,6/18,2474,6,1
Sami Sohail (MWI),Sri Lanka,2003-2021,46,42,7,1347,94*,56.12,0,9,14,65.55,11853,47.64,464,895,59.57,80.47,11,87,16,38,47.3,501,46.92,7.58,46.04,6/27,246,26,3
DSBP Kuruppu (SL),Pakistan,1993-2021,58,59,25,1342,201*,23.54,1,4,2,68.72,1727,27.79,149,573,70.57,72.45,2,202,17,77,62.73,373,11.3,4.49,16.61,4/29,3891,15,6
Javed Burki (PAK),Pakistan,2015-2022,25,48,31,1341,140,30.47,3,4,2,141.2,4758,54.08,402,219,93.41,97.12,42,276,21,9,76.2,32,39.83,7.11,11.17,1/31,2923,30,1
ADS Fletcher (WI),England,2014-2024,83,80,46,1338,84*,18.32,0,8,1,141.55,15576,66.35,105,547,59.44,73.31,48,241,43,56,86.56,26,19.93,6.43,43.01,4/10,4384,13,3
JN Loftie-Eaton (NAM),West Indies,2009-2022,79,63,16,1337,101,24.75,1,7,12,83.69,17852,32.29,65,710,82.28,93.54,44,72,28,6,56.25,509,28.09,5.58,40.83,7/20,2912,3,6
ES Szwarczynski (NED),West Indies,2016-2023,55,52,22,1335,98,27.81,0,10,6,122.93,11022,55.55,12,1696,94.46,70.05,3,126,1,49,89.72,430,21.79,4.55,57.33,2/43,925,42,8
V Pollard (NZ),England,1983-2021,35,61,46,1333,116,24.68,2,8,17,121.64,18752,43.68,284,1688,88.17,80.99,10,205,25,47,87.65,273,11.78,3.2,52.89,5/44,4380,45,9
OG Smith (WI),Bangladesh,1998-2022,26,42,14,1331,168,31.69,4,6,8,137.09,14741,51.88,353,1740,60.65,59.88,40,171,49,91,72.21,523,41.52,4.03,29.12,5/23,954,2,7
AK Davidson (AUS),Sri Lanka,2007-2022,44,61,41,1328,80,24.59,0,5,3,135.94,2648,48.77,93,1185,71.04,97.46,10,48,0,62,33.72,352,36.97,7.31,38.41,7/31,3516,28,7
J Mubarak (SL),Bangladesh,2015-2022,69,75,1,1327,72,20.73,0,4,7,63.41,19408,48.67,58,938,74.89,61.6,17,176,0,40,35.2,191,30.05,5.89,54.71,7/32,1953,32,8
Mohammad Wasim (PAK),Sri Lanka,2009-2021,43,53,43,1326,192,27.06,2,5,4,104.43,12140,55.08,144,1867,79.79,75.14,39,62,17,14,71.85,332,43.14,3.96,33.31,6/36,3043,37,9
JS Solomon (WI),Sri Lanka,2015-2021,27,46,25,1326,100*,34.00,1,9,12,60.02,17994,34.82,349,573,97.54,50.12,3,261,42,40,36.88,102,18.76,5.54,58.35,5/49,2618,31,3
DR Flynn (NZ),South Africa,1997-2021,49,67,6,1325,95,22.08,0,6,11,70.25,4187,50.45,71,1462,91.54,80.97,15,209,6,91,67.23,221,21.37,9.24,31.72,4/21,4431,13,5
Aminul Islam (BAN),South Africa,1982-2024,52,65,43,1324,145,22.44,1,5,0,68.34,2904,69.17,423,258,80.92,52.27,39,54,33,29,44.9,318,16.26,4.89,24.27,7/41,1064,47,4
TL Seifert (NZ),England,2015-2024,64,60,12,1324,88,24.98,0,9,16,61.05,18450,22.76,441,366,86.82,78.97,29,210,8,7,53.76,126,42.17,3.86,10.17,4/12,807,22,5
GM Hamilton (ENG/SCOT),Australia,2014-2023,51,48,39,1321,119,29.35,2,7,9,60.25,17347,55.92,456,1176,54.87,97.17,3,46,16,4,34.44,341,10.87,5.97,14.57,2/35,2602,45,0
K Verreynne (SA),Bangladesh,2009-2024,37,45,9,1321,136*,32.21,2,8,1,133.9,18805,63.01,302,166,58.97,77.58,25,28,8,31,87.17,326,31.98,9.51,48.26,4/19,3082,10,2
RA Duff (AUS),Afghanistan,1981-2021,22,40,15,1317,146,35.59,2,6,5,139.4,4528,32.67,168,1237,70.25,88.12,8,120,1,51,85.95,372,38.93,7.79,21.15,1/46,2622,49,0
KA Edwards (WI),New Zealand,1991-2022,33,48,43,1317,123*,29.26,3,8,14,69.05,15058,36.07,213,428,79.43,50.22,13,91,42,76,60.71,134,45.4,9.69,40.59,4/38,1004,49,6
MA Vermeulen (ZIM),Pakistan,1992-2024,52,61,42,1317,118,23.10,1,8,7,100.58,1523,33.74,189,1895,82.53,94.21,26,245,39,23,71.25,500,45.92,9.16,50.08,7/15,4055,18,8
BW Luckhurst (ENG),Pakistan,2006-2021,24,44,17,1313,131,33.66,4,5,14,68.87,14514,63.48,376,1283,84.6,60.64,34,67,7,28,82.58,584,27.95,4.4,27.03,7/46,774,34,6
GJ Delany (IRE),West Indies,2012-2022,96,84,25,1310,89*,20.15,0,3,1,111.58,15043,30.05,354,282,92.15,68.61,21,84,41,38,79.58,221,20.42,4.12,57.55,4/47,1462,28,8
A Johnson (CAN),New Zealand,2019-2023,45,45,0,1304,121*,30.32,2,9,13,147.31,8831,68.63,415,320,86.54,59.8,7,51,9,79,70.15,94,13.98,5.64,16.4,7/46,3576,23,2
CA Davis (WI),New Zealand,1990-2023,15,29,7,1301,183,54.20,4,4,13,61.81,14600,44.9,427,1520,87.75,80.74,34,184,0,12,59.46,193,18.19,5.61,50.33,7/49,268,0,8
AMJ Hilditch (AUS),Australia,1984-2023,26,42,19,1299,119,30.92,2,7,17,145.92,17360,31.45,32,563,95.65,64.37,20,219,26,20,29.57,553,46.49,7.97,28.51,3/36,454,33,8
DR Jardine (ENG),Bangladesh,2018-2023,22,33,41,1296,127,48.00,1,10,10,95.03,9736,41.84,440,1137,78.88,63.2,8,123,20,92,23.66,477,41.73,4.15,23.54,4/40,4095,27,0
CG Williams (NAM),Bangladesh,1997-2024,53,51,23,1293,129*,28.73,1,7,3,90.2,3413,43.54,238,366,90.65,71.49,7,14,8,49,79.99,217,30.39,7.55,51.44,3/35,1580,10,9
SG Law (AUS),New Zealand,1996-2022,55,52,15,1291,110,28.06,1,8,19,85.32,16417,36.68,159,810,77.95,86.8,11,193,9,95,88.16,574,31.9,4.54,36.89,3/15,3454,36,1
SF Mire (ZIM),Pakistan,2016-2021,58,59,7,1286,112,21.79,1,5,4,116.98,14888,41.46,78,1370,54.02,87.98,21,120,38,33,47.06,407,17.18,8.08,30.91,7/14,1252,30,4
RW Taylor (ENG),Australia,2009-2021,84,100,9,1286,97,15.87,0,3,2,67.23,3369,30.71,112,1108,62.8,99.5,31,149,1,67,46.4,17,26.12,3.2,53.57,7/26,3183,13,6
JW Burke (AUS),India,1990-2022,24,44,22,1280,189,34.59,3,5,11,134.19,13031,69.25,196,236,83.23,60.71,22,88,13,53,35.07,415,15.48,6.18,44.66,6/39,4986,13,3
A Shrewsbury snr (ENG),Sri Lanka,2014-2021,23,40,25,1277,164,35.47,3,4,5,133.04,2910,31.98,188,1221,79.79,51.07,28,10,31,21,67.3,243,48.38,3.93,43.69,3/21,3067,19,7
MK Pandey (IND),India,2009-2023,68,57,47,1275,104*,38.63,1,5,17,61.56,14507,36.19,97,859,86.76,79.0,42,85,23,1,29.19,336,44.58,4.52,33.58,4/48,1499,46,0
NS Dhaliwal (CAN),West Indies,1992-2021,48,47,5,1272,87,30.28,0,9,9,73.79,2050,58.36,244,794,60.62,78.84,15,184,16,66,86.53,256,41.92,4.0,23.22,6/32,4479,23,4
GF Lawson (AUS),Afghanistan,2019-2022,125,120,23,1272,74,14.13,0,4,2,61.72,7154,30.17,422,1032,70.78,59.13,31,96,24,94,67.69,82,42.45,5.99,51.72,3/21,4358,40,8
ZE Green (NAM),Sri Lanka,2003-2022,101,76,17,1271,75*,19.85,0,3,9,146.86,12889,69.11,429,1001,63.81,50.99,18,73,2,72,77.48,573,12.26,3.56,22.88,2/47,293,30,7
CP Rizwan (UAE),South Africa,1990-2023,60,56,44,1271,109,27.04,1,5,4,120.11,5131,50.24,207,1912,75.38,71.34,25,98,43,3,22.66,536,27.2,5.57,15.16,5/46,336,23,9
D Mongia (IND),Australia,2008-2024,58,52,19,1268,159*,28.17,1,4,15,113.85,18506,59.0,221,1098,91.44,99.64,12,12,9,8,66.25,415,38.27,9.35,19.54,1/34,3742,41,9
KJ Wadsworth (NZ),India,1993-2021,46,61,13,1268,104,22.64,1,5,12,62.46,2511,51.8,438,416,51.53,74.07,21,269,16,76,48.12,113,23.24,8.31,10.96,3/25,2049,25,4
Sarfraz Nawaz (PAK),India,2012-2022,100,103,20,1266,90,15.43,0,4,11,61.12,18005,52.51,417,1632,59.97,63.75,20,155,30,10,49.96,463,11.69,8.17,48.98,6/16,1075,23,3
Riazat Ali Shah (UGA),West Indies,1980-2021,63,54,34,1264,98*,31.60,0,4,13,67.51,4168,25.06,293,842,59.93,75.87,33,209,10,65,41.06,531,21.82,5.68,54.48,7/27,4845,39,9
RF Surti (IND),New Zealand,1983-2022,26,48,35,1263,99,28.70,0,9,6,145.68,15189,52.12,387,981,51.97,98.07,0,205,43,91,36.13,151,30.84,8.35,56.73,3/32,1205,26,9
Sharjeel Khan (PAK),England,2013-2021,47,45,34,1262,152,28.04,1,8,11,88.68,10097,25.84,266,1968,70.8,57.29,38,84,45,32,83.88,116,11.34,4.12,30.4,1/24,865,12,3
BJ Hodge (AUS),Bangladesh,1998-2023,46,43,34,1261,203*,36.02,2,5,3,126.14,2465,44.41,460,1782,92.62,58.25,29,210,7,37,59.7,122,10.98,6.27,59.46,6/50,194,5,7
Khaled Mahmud (BAN),New Zealand,1996-2022,89,95,8,1257,50,13.81,0,1,10,140.69,3318,43.34,304,1777,80.94,80.64,24,26,18,60,29.45,485,14.28,3.05,18.97,4/36,4482,13,6
CA Walsh (WI),Bangladesh,2015-2024,337,264,23,1257,30*,7.39,0,0,14,120.2,6477,24.61,385,1917,86.52,92.97,35,176,5,34,50.68,172,10.31,5.96,35.91,1/23,952,8,8
AR Patwa (TAN),Bangladesh,2011-2022,52,52,36,1256,79,26.72,0,6,19,128.3,2193,27.43,322,1073,96.47,72.28,8,231,31,95,21.94,369,30.33,6.04,31.61,4/12,929,22,3
DAS Gunaratne (SL),Sri Lanka,2007-2021,49,47,0,1255,116,33.02,2,6,17,83.06,15255,47.6,205,975,94.9,65.44,4,234,9,35,65.85,23,32.97,6.09,41.05,1/23,2325,24,8
Khawar Ali (OMA),Pakistan,1986-2022,75,64,12,1252,79*,22.76,0,6,17,136.75,3828,54.38,247,994,58.73,75.15,12,32,6,26,62.69,8,33.73,7.59,38.03,7/16,4828,46,8
JE Taylor (WI),India,1993-2022,166,130,16,1252,106,11.59,1,1,5,61.78,644,50.82,160,348,84.37,82.4,42,77,39,24,52.75,318,39.17,7.25,40.5,3/25,3583,12,6
Mansoor Akhtar (PAK),Sri Lanka,1994-2022,60,64,39,1248,111,20.80,1,3,11,98.03,12271,28.11,374,1325,79.67,73.68,28,185,29,60,52.23,89,36.9,7.97,52.64,2/29,516,5,4
SW Billings (ENG/ICC),Sri Lanka,2008-2024,68,59,45,1246,118,23.96,1,7,7,70.41,17388,69.28,288,269,78.51,87.2,15,123,14,66,71.83,441,31.34,7.12,13.09,6/47,2694,43,1
O Tuyisenge (RWN),England,1998-2022,77,74,28,1244,100*,17.77,1,3,14,124.92,8796,22.87,220,1053,80.96,79.49,40,291,31,44,87.15,130,48.64,9.44,10.43,2/18,895,25,8
GE Gomez (WI),Sri Lanka,1989-2023,29,46,37,1243,101,30.31,1,8,2,147.89,6760,63.88,210,696,89.65,61.27,14,214,37,93,56.59,532,12.33,4.06,34.11,3/48,1512,48,5
HB Cameron (SA),Pakistan,2018-2023,26,45,8,1239,90,30.21,0,10,9,60.6,16381,60.55,419,536,64.47,84.22,20,119,45,63,54.42,304,15.57,3.43,46.7,4/32,2860,2,7
G Giffen (AUS),India,1994-2023,31,53,12,1238,161,23.35,1,6,11,87.11,19928,45.5,397,1396,96.87,64.59,25,121,9,52,83.41,121,18.37,6.71,31.51,2/44,2560,40,2
JP Faulkner (AUS),New Zealand,1992-2021,94,72,42,1236,116,28.74,1,4,15,127.89,18408,44.83,257,1220,99.24,87.06,22,186,26,71,38.53,470,32.16,5.16,37.96,1/26,3546,23,8
Akram Khan (BAN),India,1996-2021,52,60,26,1235,65,21.29,0,5,6,132.05,8938,45.37,255,192,88.8,72.89,49,10,44,35,68.94,259,17.78,6.65,44.92,2/12,1839,38,5
M Morkel (Afr/SA/World),Bangladesh,1998-2024,247,159,10,1234,40,10.92,0,0,6,145.8,13357,23.26,487,649,61.93,72.2,18,230,1,51,78.75,538,37.41,8.98,50.96,7/36,4678,25,8
JP Kotze (NAM),Bangladesh,2002-2022,62,58,11,1232,136,23.24,2,3,8,129.46,15610,47.14,429,1212,63.17,80.89,15,29,30,45,72.92,489,16.34,7.53,54.04,1/30,4717,38,6
Azmatullah Omarzai (AFG),South Africa,2014-2023,74,58,33,1231,149*,26.76,1,6,2,70.31,5597,21.83,147,1797,75.06,91.77,22,244,10,37,39.96,243,12.09,9.19,23.19,6/47,1296,34,5
DG Phadkar (IND),South Africa,1994-2023,31,45,6,1229,123,32.34,2,8,4,72.43,18641,45.78,107,1400,54.14,74.62,34,197,8,86,26.18,100,45.97,6.31,31.01,6/14,739,37,1
CB Fry (ENG),South Africa,1983-2021,26,41,35,1223,144,32.18,2,7,6,90.13,1243,44.26,214,1743,99.77,83.19,25,74,6,37,47.88,446,11.33,6.25,37.27,1/14,2434,20,2
Faheem Ashraf (PAK),Afghanistan,2008-2021,99,84,5,1222,91,16.97,0,4,13,86.7,7779,62.89,131,1931,55.3,70.05,12,35,17,4,38.85,264,17.94,6.28,11.98,2/12,1670,29,5
Usman Ghani (AFG),Afghanistan,1997-2024,52,51,22,1221,118,25.43,1,6,9,133.64,19427,35.35,447,1585,74.06,58.1,6,149,18,69,86.95,502,13.29,9.7,15.56,3/41,3964,0,9
Aizaz Khan (HKG),Pakistan,1998-2022,104,88,10,1220,48*,17.18,0,0,4,148.85,9955,38.61,364,1703,60.58,84.79,0,111,6,22,58.48,274,42.13,4.46,37.13,3/35,2333,41,2
BP Patel (IND),South Africa,1994-2022,31,47,20,1215,115*,29.63,1,6,10,127.69,18137,56.49,229,1628,67.57,67.83,46,22,7,44,57.08,249,41.0,8.62,51.19,7/38,3666,28,3
R Mutumbami (ZIM),England,2010-2022,71,72,8,1214,74,18.67,0,4,0,101.3,2972,25.16,142,1269,98.03,96.82,2,142,25,7,22.4,272,22.64,7.94,39.66,3/21,4219,3,8
AN Kervezee (NED),New Zealand,1987-2023,49,46,7,1213,92,28.88,0,6,10,90.5,4504,28.34,69,1520,94.84,80.26,10,198,24,99,67.49,418,42.57,6.96,16.94,4/35,1458,35,0
Mohammad Nadeem (OMA),West Indies,2008-2024,88,67,43,1213,77*,26.95,0,6,13,82.77,17256,49.05,267,460,89.21,76.83,15,263,23,84,67.54,30,17.53,5.47,18.03,3/18,1575,34,4
TH David (AUS/SGP),India,1992-2022,55,49,19,1211,92*,31.86,0,6,16,112.75,15433,34.36,26,1558,72.89,75.7,10,238,23,5,34.58,25,33.04,4.69,21.65,7/23,1830,45,5
VS Ransford (AUS),Australia,1981-2024,20,38,47,1211,143*,37.84,1,7,5,69.69,19876,47.54,69,1310,91.93,74.08,37,280,21,68,61.28,381,24.7,4.48,25.06,2/27,2639,21,3
VP Thamotharam (MLT),Bangladesh,1980-2024,55,53,15,1209,104*,26.86,1,7,12,144.67,11851,38.97,176,1442,80.07,66.07,10,291,39,40,55.9,68,20.74,8.2,12.59,4/23,454,21,1
BP Nash (WI),England,2010-2023,30,40,17,1207,114,32.62,2,8,16,102.84,19068,60.39,467,376,81.41,84.99,16,15,9,58,52.5,531,28.54,7.75,19.49,4/14,2168,35,1
