player_name,country,years_active,matches,innings,not_outs,runs,high_score,batting_average,hundreds,fifties,ducks,batting_strike_rate,balls_faced,boundary_%,sixes_hit,fours_hit,consistency_score,player_impact_score,man_of_the_match_awards,catches_taken,stumpings,run_outs,matches_won_contribution_(%),bowling_wickets,bowling_average,bowling_economy_rate,bowling_strike_rate,best_bowling_figures,overs_bowled,five-wicket_hauls,ten-wicket_hauls,strike_rate
JS Solomon (WI),Sri Lanka,2015-2021,27,46,25,1326,100*,34.00,1,9,12,60.02,17994,34.82,349,573,97.54,50.12,3,261,42,40,36.88,102,18.76,5.54,58.35,5/49,2618,31,3,4911.111111111111
DR Flynn (NZ),South Africa,1997-2021,49,67,6,1325,95,22.08,0,6,11,70.25,4187,50.45,71,1462,91.54,80.97,15,209,6,91,67.23,221,21.37,9.24,31.72,4/21,4431,13,5,2704.081632653061
Aminul Islam (BAN),South Africa,1982-2024,52,65,43,1324,145,22.44,1,5,0,68.34,2904,69.17,423,258,80.92,52.27,39,54,33,29,44.9,318,16.26,4.89,24.27,7/41,1064,47,4,2546.153846153846
TL Seifert (NZ),England,2015-2024,64,60,12,1324,88,24.98,0,9,16,61.05,18450,22.76,441,366,86.82,78.97,29,210,8,7,53.76,126,42.17,3.86,10.17,4/12,807,22,5,2068.75
GM Hamilton (ENG/SCOT),Australia,2014-2023,51,48,39,1321,119,29.35,2,7,9,60.25,17347,55.92,456,1176,54.87,97.17,3,46,16,4,34.44,341,10.87,5.97,14.57,2/35,2602,45,0,2590.1960784313724
K Verreynne (SA),Bangladesh,2009-2024,37,45,9,1321,136*,32.21,2,8,1,133.9,18805,63.01,302,166,58.97,77.58,25,28,8,31,87.17,326,31.98,9.51,48.26,4/19,3082,10,2,3570.27027027027
RA Duff (AUS),Afghanistan,1981-2021,22,40,15,1317,146,35.59,2,6,5,139.4,4528,32.67,168,1237,70.25,88.12,8,120,1,51,85.95,372,38.93,7.79,21.15,1/46,2622,49,0,5986.363636363637
KA Edwards (WI),New Zealand,1991-2022,33,48,43,1317,123*,29.26,3,8,14,69.05,15058,36.07,213,428,79.43,50.22,13,91,42,76,60.71,134,45.4,9.69,40.59,4/38,1004,49,6,3990.9090909090905
MA Vermeulen (ZIM),Pakistan,1992-2024,52,61,42,1317,118,23.10,1,8,7,100.58,1523,33.74,189,1895,82.53,94.21,26,245,39,23,71.25,500,45.92,9.16,50.08,7/15,4055,18,8,2532.6923076923076
BW Luckhurst (ENG),Pakistan,2006-2021,24,44,17,1313,131,33.66,4,5,14,68.87,14514,63.48,376,1283,84.6,60.64,34,67,7,28,82.58,584,27.95,4.4,27.03,7/46,774,34,6,5470.833333333334
GJ Delany (IRE),West Indies,2012-2022,96,84,25,1310,89*,20.15,0,3,1,111.58,15043,30.05,354,282,92.15,68.61,21,84,41,38,79.58,221,20.42,4.12,57.55,4/47,1462,28,8,1364.5833333333335
A Johnson (CAN),New Zealand,2019-2023,45,45,0,1304,121*,30.32,2,9,13,147.31,8831,68.63,415,320,86.54,59.8,7,51,9,79,70.15,94,13.98,5.64,16.4,7/46,3576,23,2,2897.777777777778
CA Davis (WI),New Zealand,1990-2023,15,29,7,1301,183,54.20,4,4,13,61.81,14600,44.9,427,1520,87.75,80.74,34,184,0,12,59.46,193,18.19,5.61,50.33,7/49,268,0,8,8673.333333333334
AMJ Hilditch (AUS),Australia,1984-2023,26,42,19,1299,119,30.92,2,7,17,145.92,17360,31.45,32,563,95.65,64.37,20,219,26,20,29.57,553,46.49,7.97,28.51,3/36,454,33,8,4996.153846153846
DR Jardine (ENG),Bangladesh,2018-2023,22,33,41,1296,127,48.00,1,10,10,95.03,9736,41.84,440,1137,78.88,63.2,8,123,20,92,23.66,477,41.73,4.15,23.54,4/40,4095,27,0,5890.909090909091
CG Williams (NAM),Bangladesh,1997-2024,53,51,23,1293,129*,28.73,1,7,3,90.2,3413,43.54,238,366,90.65,71.49,7,14,8,49,79.99,217,30.39,7.55,51.44,3/35,1580,10,9,2439.622641509434
SG Law (AUS),New Zealand,1996-2022,55,52,15,1291,110,28.06,1,8,19,85.32,16417,36.68,159,810,77.95,86.8,11,193,9,95,88.16,574,31.9,4.54,36.89,3/15,3454,36,1,2347.2727272727275
SF Mire (ZIM),Pakistan,2016-2021,58,59,7,1286,112,21.79,1,5,4,116.98,14888,41.46,78,1370,54.02,87.98,21,120,38,33,47.06,407,17.18,8.08,30.91,7/14,1252,30,4,2217.2413793103447
RW Taylor (ENG),Australia,2009-2021,84,100,9,1286,97,15.87,0,3,2,67.23,3369,30.71,112,1108,62.8,99.5,31,149,1,67,46.4,17,26.12,3.2,53.57,7/26,3183,13,6,1530.952380952381
JW Burke (AUS),India,1990-2022,24,44,22,1280,189,34.59,3,5,11,134.19,13031,69.25,196,236,83.23,60.71,22,88,13,53,35.07,415,15.48,6.18,44.66,6/39,4986,13,3,5333.333333333334
A Shrewsbury snr (ENG),Sri Lanka,2014-2021,23,40,25,1277,164,35.47,3,4,5,133.04,2910,31.98,188,1221,79.79,51.07,28,10,31,21,67.3,243,48.38,3.93,43.69,3/21,3067,19,7,5552.173913043478
MK Pandey (IND),India,2009-2023,68,57,47,1275,104*,38.63,1,5,17,61.56,14507,36.19,97,859,86.76,79.0,42,85,23,1,29.19,336,44.58,4.52,33.58,4/48,1499,46,0,1875.0
NS Dhaliwal (CAN),West Indies,1992-2021,48,47,5,1272,87,30.28,0,9,9,73.79,2050,58.36,244,794,60.62,78.84,15,184,16,66,86.53,256,41.92,4.0,23.22,6/32,4479,23,4,2650.0
GF Lawson (AUS),Afghanistan,2019-2022,125,120,23,1272,74,14.13,0,4,2,61.72,7154,30.17,422,1032,70.78,59.13,31,96,24,94,67.69,82,42.45,5.99,51.72,3/21,4358,40,8,1017.6
ZE Green (NAM),Sri Lanka,2003-2022,101,76,17,1271,75*,19.85,0,3,9,146.86,12889,69.11,429,1001,63.81,50.99,18,73,2,72,77.48,573,12.26,3.56,22.88,2/47,293,30,7,1258.4158415841584
CP Rizwan (UAE),South Africa,1990-2023,60,56,44,1271,109,27.04,1,5,4,120.11,5131,50.24,207,1912,75.38,71.34,25,98,43,3,22.66,536,27.2,5.57,15.16,5/46,336,23,9,2118.3333333333335
D Mongia (IND),Australia,2008-2024,58,52,19,1268,159*,28.17,1,4,15,113.85,18506,59.0,221,1098,91.44,99.64,12,12,9,8,66.25,415,38.27,9.35,19.54,1/34,3742,41,9,2186.206896551724
KJ Wadsworth (NZ),India,1993-2021,46,61,13,1268,104,22.64,1,5,12,62.46,2511,51.8,438,416,51.53,74.07,21,269,16,76,48.12,113,23.24,8.31,10.96,3/25,2049,25,4,2756.521739130435
Sarfraz Nawaz (PAK),India,2012-2022,100,103,20,1266,90,15.43,0,4,11,61.12,18005,52.51,417,1632,59.97,63.75,20,155,30,10,49.96,463,11.69,8.17,48.98,6/16,1075,23,3,1266.0
Riazat Ali Shah (UGA),West Indies,1980-2021,63,54,34,1264,98*,31.60,0,4,13,67.51,4168,25.06,293,842,59.93,75.87,33,209,10,65,41.06,531,21.82,5.68,54.48,7/27,4845,39,9,2006.3492063492063
RF Surti (IND),New Zealand,1983-2022,26,48,35,1263,99,28.70,0,9,6,145.68,15189,52.12,387,981,51.97,98.07,0,205,43,91,36.13,151,30.84,8.35,56.73,3/32,1205,26,9,4857.692307692308
Sharjeel Khan (PAK),England,2013-2021,47,45,34,1262,152,28.04,1,8,11,88.68,10097,25.84,266,1968,70.8,57.29,38,84,45,32,83.88,116,11.34,4.12,30.4,1/24,865,12,3,2685.106382978723
BJ Hodge (AUS),Bangladesh,1998-2023,46,43,34,1261,203*,36.02,2,5,3,126.14,2465,44.41,460,1782,92.62,58.25,29,210,7,37,59.7,122,10.98,6.27,59.46,6/50,194,5,7,2741.304347826087
Khaled Mahmud (BAN),New Zealand,1996-2022,89,95,8,1257,50,13.81,0,1,10,140.69,3318,43.34,304,1777,80.94,80.64,24,26,18,60,29.45,485,14.28,3.05,18.97,4/36,4482,13,6,1412.3595505617977
CA Walsh (WI),Bangladesh,2015-2024,337,264,23,1257,30*,7.39,0,0,14,120.2,6477,24.61,385,1917,86.52,92.97,35,176,5,34,50.68,172,10.31,5.96,35.91,1/23,952,8,8,372.99703264094956
AR Patwa (TAN),Bangladesh,2011-2022,52,52,36,1256,79,26.72,0,6,19,128.3,2193,27.43,322,1073,96.47,72.28,8,231,31,95,21.94,369,30.33,6.04,31.61,4/12,929,22,3,2415.3846153846152
DAS Gunaratne (SL),Sri Lanka,2007-2021,49,47,0,1255,116,33.02,2,6,17,83.06,15255,47.6,205,975,94.9,65.44,4,234,9,35,65.85,23,32.97,6.09,41.05,1/23,2325,24,8,2561.224489795918
Khawar Ali (OMA),Pakistan,1986-2022,75,64,12,1252,79*,22.76,0,6,17,136.75,3828,54.38,247,994,58.73,75.15,12,32,6,26,62.69,8,33.73,7.59,38.03,7/16,4828,46,8,1669.3333333333333
JE Taylor (WI),India,1993-2022,166,130,16,1252,106,11.59,1,1,5,61.78,644,50.82,160,348,84.37,82.4,42,77,39,24,52.75,318,39.17,7.25,40.5,3/25,3583,12,6,754.2168674698795
Mansoor Akhtar (PAK),Sri Lanka,1994-2022,60,64,39,1248,111,20.80,1,3,11,98.03,12271,28.11,374,1325,79.67,73.68,28,185,29,60,52.23,89,36.9,7.97,52.64,2/29,516,5,4,2080.0
SW Billings (ENG/ICC),Sri Lanka,2008-2024,68,59,45,1246,118,23.96,1,7,7,70.41,17388,69.28,288,269,78.51,87.2,15,123,14,66,71.83,441,31.34,7.12,13.09,6/47,2694,43,1,1832.3529411764707
O Tuyisenge (RWN),England,1998-2022,77,74,28,1244,100*,17.77,1,3,14,124.92,8796,22.87,220,1053,80.96,79.49,40,291,31,44,87.15,130,48.64,9.44,10.43,2/18,895,25,8,1615.5844155844156
GE Gomez (WI),Sri Lanka,1989-2023,29,46,37,1243,101,30.31,1,8,2,147.89,6760,63.88,210,696,89.65,61.27,14,214,37,93,56.59,532,12.33,4.06,34.11,3/48,1512,48,5,4286.206896551724
HB Cameron (SA),Pakistan,2018-2023,26,45,8,1239,90,30.21,0,10,9,60.6,16381,60.55,419,536,64.47,84.22,20,119,45,63,54.42,304,15.57,3.43,46.7,4/32,2860,2,7,4765.384615384615
G Giffen (AUS),India,1994-2023,31,53,12,1238,161,23.35,1,6,11,87.11,19928,45.5,397,1396,96.87,64.59,25,121,9,52,83.41,121,18.37,6.71,31.51,2/44,2560,40,2,3993.5483870967746
JP Faulkner (AUS),New Zealand,1992-2021,94,72,42,1236,116,28.74,1,4,15,127.89,18408,44.83,257,1220,99.24,87.06,22,186,26,71,38.53,470,32.16,5.16,37.96,1/26,3546,23,8,1314.8936170212767
Akram Khan (BAN),India,1996-2021,52,60,26,1235,65,21.29,0,5,6,132.05,8938,45.37,255,192,88.8,72.89,49,10,44,35,68.94,259,17.78,6.65,44.92,2/12,1839,38,5,2375.0
M Morkel (Afr/SA/World),Bangladesh,1998-2024,247,159,10,1234,40,10.92,0,0,6,145.8,13357,23.26,487,649,61.93,72.2,18,230,1,51,78.75,538,37.41,8.98,50.96,7/36,4678,25,8,499.5951417004049
JP Kotze (NAM),Bangladesh,2002-2022,62,58,11,1232,136,23.24,2,3,8,129.46,15610,47.14,429,1212,63.17,80.89,15,29,30,45,72.92,489,16.34,7.53,54.04,1/30,4717,38,6,1987.0967741935483
Azmatullah Omarzai (AFG),South Africa,2014-2023,74,58,33,1231,149*,26.76,1,6,2,70.31,5597,21.83,147,1797,75.06,91.77,22,244,10,37,39.96,243,12.09,9.19,23.19,6/47,1296,34,5,1663.5135135135138
DG Phadkar (IND),South Africa,1994-2023,31,45,6,1229,123,32.34,2,8,4,72.43,18641,45.78,107,1400,54.14,74.62,34,197,8,86,26.18,100,45.97,6.31,31.01,6/14,739,37,1,3964.5161290322585
CB Fry (ENG),South Africa,1983-2021,26,41,35,1223,144,32.18,2,7,6,90.13,1243,44.26,214,1743,99.77,83.19,25,74,6,37,47.88,446,11.33,6.25,37.27,1/14,2434,20,2,4703.846153846154
Faheem Ashraf (PAK),Afghanistan,2008-2021,99,84,5,1222,91,16.97,0,4,13,86.7,7779,62.89,131,1931,55.3,70.05,12,35,17,4,38.85,264,17.94,6.28,11.98,2/12,1670,29,5,1234.3434343434344
Usman Ghani (AFG),Afghanistan,1997-2024,52,51,22,1221,118,25.43,1,6,9,133.64,19427,35.35,447,1585,74.06,58.1,6,149,18,69,86.95,502,13.29,9.7,15.56,3/41,3964,0,9,2348.076923076923
Aizaz Khan (HKG),Pakistan,1998-2022,104,88,10,1220,48*,17.18,0,0,4,148.85,9955,38.61,364,1703,60.58,84.79,0,111,6,22,58.48,274,42.13,4.46,37.13,3/35,2333,41,2,1173.076923076923
BP Patel (IND),South Africa,1994-2022,31,47,20,1215,115*,29.63,1,6,10,127.69,18137,56.49,229,1628,67.57,67.83,46,22,7,44,57.08,249,41.0,8.62,51.19,7/38,3666,28,3,3919.3548387096776
R Mutumbami (ZIM),England,2010-2022,71,72,8,1214,74,18.67,0,4,0,101.3,2972,25.16,142,1269,98.03,96.82,2,142,25,7,22.4,272,22.64,7.94,39.66,3/21,4219,3,8,1709.8591549295775
AN Kervezee (NED),New Zealand,1987-2023,49,46,7,1213,92,28.88,0,6,10,90.5,4504,28.34,69,1520,94.84,80.26,10,198,24,99,67.49,418,42.57,6.96,16.94,4/35,1458,35,0,2475.5102040816328
Mohammad Nadeem (OMA),West Indies,2008-2024,88,67,43,1213,77*,26.95,0,6,13,82.77,17256,49.05,267,460,89.21,76.83,15,263,23,84,67.54,30,17.53,5.47,18.03,3/18,1575,34,4,1378.4090909090908
TH David (AUS/SGP),India,1992-2022,55,49,19,1211,92*,31.86,0,6,16,112.75,15433,34.36,26,1558,72.89,75.7,10,238,23,5,34.58,25,33.04,4.69,21.65,7/23,1830,45,5,2201.818181818182
VS Ransford (AUS),Australia,1981-2024,20,38,47,1211,143*,37.84,1,7,5,69.69,19876,47.54,69,1310,91.93,74.08,37,280,21,68,61.28,381,24.7,4.48,25.06,2/27,2639,21,3,6055.0
VP Thamotharam (MLT),Bangladesh,1980-2024,55,53,15,1209,104*,26.86,1,7,12,144.67,11851,38.97,176,1442,80.07,66.07,10,291,39,40,55.9,68,20.74,8.2,12.59,4/23,454,21,1,2198.181818181818
BP Nash (WI),England,2010-2023,30,40,17,1207,114,32.62,2,8,16,102.84,19068,60.39,467,376,81.41,84.99,16,15,9,58,52.5,531,28.54,7.75,19.49,4/14,2168,35,1,4023.3333333333335
B Zuiderent (NED),West Indies,1990-2023,63,62,2,1205,77*,23.62,0,8,10,91.1,16570,60.64,262,1137,70.53,72.81,26,228,0,50,35.52,303,28.33,8.05,15.29,2/26,3293,45,7,1912.6984126984125
Shoaib Khan (OMA),South Africa,1996-2022,59,58,18,1204,105*,25.61,1,8,17,70.81,14254,31.41,324,566,90.19,51.76,25,169,42,95,73.54,359,29.94,7.35,16.66,7/28,978,28,6,2040.677966101695
SA Durani (IND),India,1981-2021,29,50,27,1202,104,25.04,1,7,12,146.83,10061,20.04,49,1257,96.01,91.21,38,280,21,98,56.3,412,24.05,4.21,22.74,3/36,453,7,4,4144.827586206897
BT Foakes (ENG),Afghanistan,1992-2023,27,47,10,1200,113*,30.76,2,5,16,67.51,9372,21.18,306,118,72.58,75.93,12,140,18,7,25.57,427,27.56,3.91,55.9,5/32,134,25,3,4444.444444444444
Wahab Riaz (PAK),England,2020-2022,154,125,8,1200,54*,12.12,0,3,5,110.0,11772,62.4,357,1580,95.31,61.45,19,143,6,76,36.41,127,13.77,8.25,36.9,5/38,2058,19,6,779.2207792207793
J Da Silva (WI),Australia,2017-2023,33,57,47,1199,100*,24.97,1,5,2,119.28,9817,28.09,422,395,50.84,70.75,19,242,8,22,65.0,529,22.09,6.9,32.97,5/36,2269,17,5,3633.3333333333335
JN Malan (SA),South Africa,1993-2022,34,33,35,1199,177*,38.67,3,5,0,95.11,10962,52.75,235,1817,93.12,95.53,23,22,36,55,30.28,540,44.99,9.77,30.06,4/49,1419,20,2,3526.470588235294
JWA Taylor (ENG),New Zealand,1985-2024,34,39,16,1199,101,36.33,1,9,3,106.57,9789,30.85,453,1033,81.49,86.62,13,242,48,10,49.34,235,18.81,6.49,38.18,3/30,2313,17,0,3526.470588235294
Umar Gul (PAK),New Zealand,2004-2024,237,159,1,1199,65*,9.74,0,1,7,73.89,4567,36.04,373,353,86.05,64.06,44,285,29,99,44.25,399,37.22,8.9,40.96,7/34,1015,31,1,505.90717299578057
MW Tate (ENG),India,1999-2022,39,52,0,1198,100*,25.48,1,5,4,95.75,18208,58.65,314,1059,81.2,94.16,33,53,2,22,21.03,557,49.27,7.9,19.33,7/10,456,20,7,3071.794871794872
MJ North (AUS),Afghanistan,2019-2021,24,38,38,1197,128,33.25,5,4,13,128.18,14728,23.77,401,389,97.92,94.31,5,134,14,33,80.75,241,36.95,6.9,14.22,1/45,4110,39,0,4987.5
R Satheesan (ROM),Afghanistan,2017-2024,38,36,12,1197,99*,38.61,0,9,7,137.67,6947,47.1,87,994,56.86,80.38,38,233,12,32,57.57,158,33.95,3.84,56.93,1/50,395,18,7,3150.0
Mosaddek Hossain (BAN),Australia,1991-2024,80,74,4,1196,75,23.00,0,4,12,103.82,2101,62.26,268,429,57.59,83.18,23,125,8,46,24.51,269,19.9,8.95,51.43,5/10,4949,16,6,1495.0
PM Siddle (AUS),Bangladesh,2010-2021,89,101,18,1196,51,14.58,0,2,15,88.87,9920,42.33,300,114,64.3,97.89,17,216,18,73,48.23,569,18.91,4.85,44.56,4/40,2145,20,5,1343.8202247191011
JF Mooney (IRE),Australia,1993-2021,91,78,5,1194,96,21.70,0,3,13,118.38,4528,45.95,130,813,95.48,66.64,24,297,23,81,87.57,490,20.07,4.86,36.83,5/41,1309,12,9,1312.087912087912
MA Holding (WI),England,2004-2021,162,118,37,1192,73,12.28,0,8,7,74.76,8552,56.28,117,131,93.03,82.98,42,288,11,49,52.84,526,14.48,5.67,10.92,6/18,4215,35,7,735.8024691358024
AF Kippax (AUS),Pakistan,1980-2024,22,34,32,1192,146,36.12,2,8,15,144.1,17901,22.87,44,364,82.85,93.77,0,288,7,25,54.54,12,14.81,7.5,27.92,2/28,2066,28,4,5418.181818181818
MG Vandort (SL),Pakistan,1996-2022,21,34,34,1192,140,37.25,4,4,18,107.17,4206,33.31,77,1848,51.19,74.04,35,271,19,93,80.78,411,26.22,6.95,53.27,7/20,3655,30,0,5676.190476190476
JHW Fingleton (AUS),England,2019-2024,18,29,30,1189,136,42.46,5,3,6,102.03,1608,51.31,325,161,74.1,89.14,40,103,5,94,71.22,20,26.29,3.87,55.44,6/20,1835,24,8,6605.555555555556
RG Mukasa (UGA),Bangladesh,2003-2021,58,56,30,1186,89,23.25,0,5,3,141.25,13732,54.91,94,1990,92.51,65.82,32,245,0,95,38.69,201,25.08,7.15,57.82,7/36,4226,2,0,2044.8275862068965
RAS Lakmal (SL),Sri Lanka,2017-2022,167,163,44,1185,42,10.48,0,0,3,84.32,7978,69.53,266,1669,65.76,54.95,5,196,43,83,71.68,24,29.21,3.04,29.3,1/25,2604,9,5,709.5808383233533
CP Mead (ENG),India,2014-2022,17,26,22,1185,182*,49.37,4,3,8,67.06,7777,43.65,126,749,75.71,97.9,49,236,35,12,47.66,352,23.04,6.0,51.34,7/50,3556,15,9,6970.588235294117
AS Joseph (WI),New Zealand,1999-2022,139,109,47,1184,86,13.92,0,2,12,95.35,14150,55.87,98,927,84.0,55.91,47,148,8,16,85.98,8,35.8,4.19,24.94,1/44,4859,26,5,851.7985611510792
CM Old (ENG),England,2002-2023,78,91,8,1183,65,15.77,0,3,0,110.58,17202,56.98,297,1063,94.13,65.56,31,69,12,14,75.53,542,48.55,8.18,11.35,1/37,386,3,1,1516.6666666666665
RV Uthappa (IND),Bangladesh,2011-2021,59,54,39,1183,86,25.71,0,7,8,119.22,9157,50.06,442,1244,93.5,82.34,3,116,35,57,29.31,375,31.73,9.36,46.71,3/42,2892,1,2,2005.0847457627117
Zubaidi Zulkifle (MAS),Sri Lanka,2016-2024,60,59,4,1183,96,21.12,0,4,10,81.82,6139,59.3,349,1266,62.23,79.64,7,72,35,4,65.46,284,12.62,6.47,44.93,3/27,1117,46,5,1971.6666666666665
GS Ramchand (IND),South Africa,1981-2023,33,53,18,1180,109,24.58,2,5,15,88.48,3498,46.05,135,1033,87.19,50.67,42,241,33,81,70.72,501,37.92,4.54,50.77,7/49,2944,14,5,3575.757575757576
Mohammad Amir (PAK),New Zealand,1982-2021,159,114,44,1179,73*,13.87,0,2,3,146.83,4733,29.96,254,1958,55.31,88.48,14,169,3,34,88.65,516,14.25,9.02,36.52,1/16,679,4,4,741.5094339622642
JP Inglis (AUS),South Africa,1982-2024,50,47,12,1175,110,28.65,2,3,13,106.71,8013,67.97,459,426,81.57,98.2,4,234,41,14,56.35,180,22.23,6.38,41.79,3/38,4552,7,8,2350.0
Mohammad Mithun (BAN),Pakistan,2016-2023,61,61,13,1174,73*,20.96,0,8,14,100.52,18058,64.73,489,870,81.34,72.16,10,215,22,8,31.22,43,10.57,3.07,48.17,1/32,4279,43,5,1924.590163934426
MTG Elliott (AUS),England,2002-2024,22,37,24,1173,199,32.58,3,4,4,77.9,4057,30.04,224,52,72.15,88.42,3,78,8,17,44.74,255,20.1,6.84,23.22,3/34,516,39,3,5331.818181818182
VS Solanki (ENG),Afghanistan,1987-2022,54,49,14,1173,106,26.65,2,5,2,68.23,12328,27.72,478,354,55.08,60.62,38,92,39,8,25.87,10,14.83,7.5,25.73,5/30,995,13,6,2172.222222222222
Rev.DS Sheppard (ENG),New Zealand,2019-2024,22,33,16,1172,119,37.80,3,6,5,117.41,14655,66.45,474,725,68.4,70.68,48,245,4,24,66.37,169,18.44,9.84,28.88,5/47,1066,34,8,5327.272727272727
B Kumar (IND),England,1988-2022,229,105,30,1171,63*,16.26,0,4,7,88.99,11510,67.03,286,1219,80.49,69.76,20,268,46,59,86.95,268,16.94,6.29,34.29,5/45,3127,8,6,511.353711790393
Javed Ahmadi (AFG),India,1995-2024,53,52,26,1168,81,22.46,0,8,19,91.12,2334,65.84,384,1537,83.76,93.33,23,222,33,42,67.71,487,27.31,9.89,22.73,5/32,3243,45,8,2203.7735849056603
Rizwan Cheema (CAN),Afghanistan,2006-2023,57,56,39,1153,94,21.75,0,8,18,107.42,4339,62.63,102,955,51.75,90.02,39,247,37,21,54.28,136,13.14,3.04,14.7,6/38,3096,4,2,2022.8070175438595
G Singh (USA),England,1992-2021,45,41,2,1150,101*,33.82,1,8,17,82.64,12073,29.7,58,893,57.83,81.8,17,15,14,35,78.88,25,48.46,8.82,33.57,2/42,964,32,3,2555.5555555555557
S Davizi (CZK-R),Bangladesh,2014-2024,32,31,28,1149,115*,41.03,3,6,18,139.86,8285,67.58,38,412,73.02,93.35,4,196,15,56,59.26,82,48.86,7.59,14.63,1/13,1940,28,8,3590.625
BW Sinclair (NZ),Afghanistan,2004-2022,21,40,48,1148,138,29.43,3,3,9,68.6,16055,45.43,372,1852,68.47,67.7,42,50,41,90,69.13,508,43.32,4.68,21.65,2/11,3624,41,2,5466.666666666666
JD Campbell (WI),West Indies,2002-2021,28,47,31,1147,179,27.97,1,3,7,106.72,17692,31.57,361,1632,98.82,79.85,38,209,22,84,22.01,243,47.38,9.95,16.86,6/32,484,0,2,4096.428571428572
JM Gregory (AUS),Sri Lanka,1991-2023,24,34,34,1146,119,36.96,2,7,6,122.31,1934,59.63,480,1174,72.15,91.84,21,250,25,15,84.03,399,33.5,9.41,21.39,3/44,1026,49,0,4775.0
DK Lillee (AUS),England,1985-2024,133,124,10,1145,73*,12.44,0,1,1,93.44,7711,66.97,129,543,98.64,64.77,4,261,7,15,87.94,92,17.78,8.9,18.92,7/14,4222,4,1,860.9022556390977
RJ Peterson (SA),Sri Lanka,2019-2022,115,73,44,1144,84,22.00,0,4,16,90.26,16389,43.71,326,855,92.02,57.93,15,242,20,9,43.85,29,10.69,4.89,31.95,4/18,1970,39,2,994.7826086956521
JA Raval (NZ),Afghanistan,2020-2023,24,39,40,1143,132,30.07,1,7,15,75.22,16653,68.68,253,773,76.0,89.86,13,137,20,2,40.37,146,11.04,6.43,15.48,4/20,2560,34,5,4762.5
MW Machan (SCOT),South Africa,1986-2023,36,35,9,1141,114,35.65,1,6,19,81.75,19963,60.91,419,257,52.35,78.93,47,263,17,36,61.95,552,45.12,3.79,50.67,6/23,159,40,3,3169.4444444444443
XM Marshall (USA/WI),Sri Lanka,2016-2021,64,67,3,1139,157*,18.07,1,3,15,80.46,13922,23.63,467,616,62.26,50.2,43,241,7,35,86.69,150,22.98,5.42,11.48,5/30,265,40,2,1779.6875
RS Kalpage (SL),India,1998-2021,97,87,44,1138,63,19.96,0,3,13,68.0,10494,58.84,215,285,56.18,85.17,35,83,28,89,60.39,346,17.23,5.01,22.52,4/16,1691,0,1,1173.1958762886597
JK Kamande (KENYA),South Africa,1983-2023,98,81,22,1138,74,16.25,0,3,10,143.09,16715,44.36,180,561,57.84,61.84,16,66,17,43,51.86,329,49.55,7.08,19.72,2/49,1671,29,0,1161.2244897959183
MG Hughes (AUS),South Africa,2000-2024,86,87,38,1132,72*,15.94,0,2,12,87.57,1215,37.24,12,1923,80.54,99.59,41,171,39,15,88.21,593,37.26,4.62,28.32,6/10,1835,38,4,1316.2790697674418
Gulsan Jha (NEP),Pakistan,2003-2022,72,58,8,1131,67*,26.30,0,5,7,78.79,8020,26.55,13,1369,90.81,54.45,41,154,39,43,61.64,79,47.84,5.21,16.2,3/14,119,40,7,1570.8333333333335
DT Lindsay (SA),Bangladesh,1989-2023,19,31,36,1130,182,37.66,3,5,19,89.89,8002,21.5,274,1206,56.07,68.79,6,145,48,74,42.57,142,39.0,6.07,16.67,7/34,2153,30,8,5947.368421052632
MC Carew (WI),West Indies,1998-2023,19,36,37,1127,109,34.15,1,5,2,147.36,4631,26.3,384,1895,62.98,58.02,30,216,48,38,62.24,562,46.83,4.43,38.12,4/22,422,5,3,5931.578947368421
Aamer Malik (PAK),India,2009-2024,38,42,24,1121,117,29.50,2,8,2,132.04,8053,22.35,116,926,78.64,82.1,15,216,2,50,66.06,308,18.79,5.0,18.78,7/45,2577,4,7,2950.0
G Gunn (ENG),Australia,2009-2024,15,29,12,1120,122*,40.00,2,7,1,123.36,10784,36.08,405,249,61.98,74.73,39,139,4,97,80.2,95,19.65,8.11,13.34,7/37,1178,43,0,7466.666666666667
DR Pringle (ENG),West Indies,2005-2023,74,80,34,1120,63,17.50,0,1,15,105.32,17638,56.4,127,493,94.32,60.69,36,27,22,33,63.44,144,38.13,7.42,39.92,3/44,1287,44,6,1513.5135135135135
RR Watson (SCOT),Bangladesh,2003-2022,45,44,7,1115,123*,27.87,1,7,9,83.25,4907,38.85,439,1044,63.9,86.72,4,139,6,53,77.89,47,49.29,6.24,25.22,4/23,2531,25,4,2477.777777777778
P Khadka (NEP),Afghanistan,1991-2021,43,42,34,1114,115,29.31,2,5,18,93.01,4436,24.49,235,192,58.64,97.59,7,151,12,39,63.39,82,21.89,4.1,39.35,7/26,2769,28,0,2590.6976744186045
S Abid Ali (IND),Bangladesh,2001-2023,34,56,25,1111,81,20.96,0,7,12,103.01,2464,36.06,355,1965,66.22,88.01,30,170,2,28,74.14,330,24.86,6.67,19.94,7/28,3460,15,1,3267.6470588235297
DF Watts (SCOT),India,2010-2023,47,44,18,1111,101,25.83,1,9,15,71.88,1402,42.39,172,306,52.85,69.77,21,185,46,71,72.24,569,17.61,9.62,33.91,6/37,1367,38,7,2363.8297872340427
